,nr cam,mp,parter,et1-2,et3+,etaj max,typ_decom,bloc nou,Price/Surface,Price,WebPage
1,2,56,0,1,0,2,1,1,639.29,35800,https://www.imobiliare.ro/vanzare-apartamente/bucuresti/rahova/apartament-de-vanzare-2-camere-XAU700006?lista=2349706&listing=1
2,2,57,0,1,0,2,0,1,628.07,35800,https://www.imobiliare.ro/vanzare-apartamente/bucuresti/rahova/apartament-de-vanzare-2-camere-XAG00001O?lista=2349706&listing=1
3,2,67,0,1,0,2,1,1,591.04,39600,https://www.imobiliare.ro/vanzare-apartamente/bucuresti/rahova/apartament-de-vanzare-2-camere-XAG00001K?lista=2349706&listing=1
4,1,48,0,1,0,2,1,1,620.83,29800,https://www.imobiliare.ro/vanzare-garsoniere/bucuresti/rahova/garsoniera-de-vanzare-XAG00001J?lista=2349706&listing=1
5,3,89.6,0,0,1,3,1,1,1260.04,112900,https://www.imobiliare.ro/vanzare-apartamente/bucuresti/p-ta-presei-libere/apartament-de-vanzare-3-camere-XB0V00003?lista=2349706&listing=1
6,2,65,0,1,0,2,1,1,575.38,37400,https://www.imobiliare.ro/vanzare-apartamente/bucuresti/drumul-taberei/apartament-de-vanzare-2-camere-XAG000001?lista=2349706&listing=1
7,2,46,0,0,1,4,1,1,858.7,39500,https://www.imobiliare.ro/vanzare-apartamente/bucuresti/militari/apartament-de-vanzare-2-camere-X8RB1000F?lista=2349706&listing=1
8,6,334,0,0,1,10,1,1,7035.93,2350000,http://www.imobiliare.ro/vanzare-apartamente/bucuresti/herastrau/penthouse-de-vanzare-sau-de-inchiriat-6-camere-XC2300001?lista=2349706&listing=1
9,3,104.26,0,0,1,11,1,1,3184.35,332000,https://www.imobiliare.ro/vanzare-apartamente/bucuresti/aviatiei/apartament-de-vanzare-3-camere-XABK0002H?lista=2349706&listing=1
10,2,65,0,1,0,1,0,1,613.85,39900,https://www.imobiliare.ro/vanzare-apartamente/bucuresti/drumul-taberei/apartament-de-vanzare-2-camere-XAG000005?lista=2349706&listing=1
11,2,46,0,0,1,3,1,1,858.7,39500,https://www.imobiliare.ro/vanzare-apartamente/bucuresti/militari/apartament-de-vanzare-2-camere-X62M000V5?lista=2349706&listing=1
12,1,43.02,1,0,0,0,1,1,994.1,42766,http://www.imobiliare.ro/vanzare-garsoniere/bucuresti/militari/garsoniera-de-vanzare-XC5M0000B?lista=2349706&listing=1
13,3,80.23,0,0,1,3,1,1,1100,88253,https://www.imobiliare.ro/vanzare-apartamente/bucuresti/militari/apartament-de-vanzare-3-camere-XBHO00002?lista=2349706&listing=1
14,1,30,1,0,0,0,1,1,893.33,26800,https://www.imobiliare.ro/vanzare-garsoniere/bucuresti/militari/garsoniera-de-vanzare-XA2Q00010?lista=2349706&listing=1
15,2,66.2,0,1,0,2,1,1,1404.83,93000,http://www.imobiliare.ro/vanzare-apartamente/bucuresti/pipera/apartament-de-vanzare-2-camere-XBQC0000F?lista=2349706&listing=1
16,4,90.39,0,0,1,5,0,1,1493.53,135000,https://www.imobiliare.ro/vanzare-apartamente/bucuresti/baneasa/apartament-de-vanzare-4-camere-X49J00068?lista=2349706&listing=1
17,3,91.2,0,0,1,3,0,1,1260.96,115000,https://www.imobiliare.ro/vanzare-apartamente/bucuresti/baneasa/apartament-de-vanzare-3-camere-XAF60000F?lista=2349706&listing=1
18,2,56,0,1,0,2,1,1,705.36,39500,https://www.imobiliare.ro/vanzare-apartamente/bucuresti/rahova/apartament-de-vanzare-2-camere-XAU700005?lista=2349706&listing=1
19,2,70.24,0,0,1,8,1,1,785.76,55192,https://www.imobiliare.ro/vanzare-apartamente/bucuresti/drumul-taberei/apartament-de-vanzare-2-camere-X8VF0000S?lista=2349706&listing=1
20,2,53,0,0,1,3,0,1,1318.87,69900,http://www.imobiliare.ro/vanzare-apartamente/bucuresti/pipera/apartament-de-vanzare-2-camere-XBR100007?lista=2349706&listing=1
21,1,39,0,1,0,1,1,1,843.59,32900,https://www.imobiliare.ro/vanzare-garsoniere/bucuresti/berceni/garsoniera-de-vanzare-X7US0005N?lista=2349706&listing=1
22,2,39,0,0,1,4,1,1,2371.8,92500,https://www.imobiliare.ro/vanzare-apartamente/bucuresti/aviatiei/apartament-de-vanzare-2-camere-XBUS00003?lista=2349706&listing=1
23,2,43,0,0,1,7,1,1,1032.56,44400,https://www.imobiliare.ro/vanzare-apartamente/bucuresti/militari/apartament-de-vanzare-2-camere-XAD80000A?lista=2349706&listing=1
24,2,70.9,1,0,0,0,1,1,1267.98,89900,http://www.imobiliare.ro/vanzare-apartamente/bucuresti/pipera/apartament-de-vanzare-2-camere-XBQC0000A?lista=2349706&listing=1
25,2,46,0,0,1,4,1,1,867.39,39900,https://www.imobiliare.ro/vanzare-apartamente/bucuresti/militari/apartament-de-vanzare-2-camere-X9AV1000C?lista=2349706&listing=1
26,2,62,0,0,1,3,1,1,1435.48,89000,https://www.imobiliare.ro/vanzare-apartamente/bucuresti/mihai-bravu/apartament-de-vanzare-2-camere-XA3B0001J?lista=2349706&listing=1
27,2,61.4,0,0,1,3,1,1,3664.5,225000,https://www.imobiliare.ro/vanzare-apartamente/bucuresti/herastrau/apartament-de-vanzare-2-camere-X9R9000D0?lista=2349706&listing=1
28,2,78.62,0,0,1,3,1,1,2734.67,215000,https://www.imobiliare.ro/vanzare-apartamente/bucuresti/herastrau/apartament-de-vanzare-sau-de-inchiriat-2-camere-X9R900016?lista=2349706&listing=1
29,3,80.41,0,0,1,3,1,1,2645.96,212762,https://www.imobiliare.ro/vanzare-apartamente/bucuresti/herastrau/apartament-de-vanzare-3-camere-X5QB101DE?lista=2349706&listing=1
30,3,85,0,0,1,4,1,1,5268.24,447800,https://www.imobiliare.ro/vanzare-apartamente/bucuresti/herastrau/apartament-de-vanzare-3-camere-X9V60005S?lista=2349706&listing=1
